session_ids,item_names,responses,conditions
0,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The task will be judged by a panel of three judges. The judges will not know who wrote the task. The judges will look at the task and give it a score. The scores will be added together to get a total score for each task. The top 10% of the tasks will be published on the website.
The task will be judged on creativity. The judges will look at how creative the ideas are. The judges will look at how clever, unusual, interesting, uncommon, humorous, innovative, or different the ideas are.
The judges will look at how well the ideas are written. The judges will look at the spelling, grammar, and punctuation. The judges will look at how easy the ideas are to understand. The judges will look at how well the ideas are organized.
The judges will look at how well the ideas are presented. The judges will look at how well the ideas are explained. The judges will look at how well the ideas are supported with examples or reasons.
The judges will look at how well the ideas are developed. The judges will look at how many ideas are given",base-input-prompt-only
1,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The winner will be the person who comes up with the most creative ideas, as judged by the judge. The judge's decision will be final.
The winner will receive 100 points and a trophy.
This task is open to all members of the forum who have been active for at least two weeks.
To enter, post your ideas in the thread below. You may enter as many times as you like, but you may only win once.
The deadline for entries is Sunday, March 22, 2009, at 11:59 PM (EST).
The judge will be me.
Here are the five ideas I came up with:
1. Pants can be used as a blanket.
2. Pants can be used as a pillow.
3. Pants can be used as a sleeping bag.
4. Pants can be used as a tent.
5. Pants can be used as a car.
I have no idea if these are creative or not, but I tried.
I have five ideas, but I don't know how creative they are.
1.",base-input-prompt-only
2,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
You can use the Internet, books, magazines, or any other source to get ideas, but you must be sure to give credit to your source.
Your ideas must be original and creative.
You must give credit to your source.
You must include five creative ideas.
You must use complete sentences.
You must use proper spelling and grammar.
You must proofread your work.
You must submit your work by the due date.
You must follow the directions.
You must follow the rubric.
You must follow the grading criteria.
You must include a title.
You must include a Works Cited page.
You must include a cover page.
You must include a thesis statement.
You must include an introduction.
You must include a conclusion.
You must include a reference page.
You must include a reference list.
You must include a bibliography.
You must include a list of sources.
You must include a list of books.
You must include a list of magazines.
You must include a list of newspapers.
You must include a list of websites.
You must include a list of articles.",base-input-prompt-only
3,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
If you're not sure what a creative idea is, look up creative ideas on the Internet.
If you're not sure what a creative idea is, look up creative ideas on the Internet. Try to get your ideas from the Internet. If you do, you can use the Internet as a reference in your essay.
A creative idea is an idea that is new, unusual, interesting, uncommon, humorous, innovative, or different. It can be a new use for an existing thing, or a new thing entirely. It can be a new way to use a thing, or a new way to make a thing. It can be a new way to make a thing, or a new way to make a thing. It can be a new way to make a thing, or a new way to make a thing. It can be a new way to make a thing, or a new way to make a thing. It can be a new way to make a thing, or a new way to make a thing. It can be a new way to make a thing, or a new way to make a thing. It can be a new way to make a thing, or a",base-input-prompt-only
4,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
This task is a little more challenging than the previous two tasks, but you'll find it's a lot of fun. You'll need to be creative, so try to think of as many creative ideas as you can. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
Task 1: Think of a creative use for a toothbrush.
Task 2: Think of a creative use for a pencil.
Task 3: Think of a creative use for a pen.
Task 4: Think of a creative use for a book.
Task 5: Think of a creative use for a computer.
Task 6: Think of a creative use for a cell phone.
Task 7: Think of a creative use for a piece of paper.
Task 8: Think of a creative use for a piece of cloth.
Task 9: Think of a creative use for a piece of plastic.
Task 10: Think of a creative use for",base-input-prompt-only
5,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
If you're not sure what to do, try to think of a creative use for a different item. For example, if you're not sure what to do with pants, think of a creative use for a pen.
You can get ideas from the examples below. If you look at the examples, you'll see that the best ideas are the ones that are clever, unusual, and interesting. The examples are also good because they are creative uses for pants, not ordinary uses.
Ideas for creative uses for pants:
1. Make a pants-shaped table.
2. Make a pants-shaped couch.
3. Make a pants-shaped chair.
4. Make a pants-shaped bed.
5. Make a pants-shaped house.
6. Make a pants-shaped car.
7. Make a pants-shaped boat.
8. Make a pants-shaped plane.
9. Make a pants-shaped train.
10. Make a pants-shaped bus.
11. Make a pants-sh",base-input-prompt-only
6,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The pants you are given are not ordinary pants. They are special pants. They are the pants of a famous person. You have to come up with creative uses for these pants.
You can only use the pants of this famous person for the task. You can't use the pants of someone else.
You can't use the pants for any practical purpose. You can't use them to wear, to sit on, or to protect your legs.
You can't use the pants for any ordinary purpose. You can't use them to make a pillow, to make a hat, to make a purse, to make a toy, to make a shirt, to make a dress, to make a skirt, to make a pair of shorts, or to make a pair of pants for someone else.
You can't use the pants for any ordinary purpose. You can't use them to make a hat, to make a purse, to make a toy, to make a shirt, to make a dress, to make a skirt, to make a pair of shorts, or to make a",base-input-prompt-only
7,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
Please note that the following instructions are for the FIVE ideas you will type in. If you have any additional ideas that you would like to share, please feel free to do so.
1. Type in FIVE creative uses for pants.
2. For each idea, please explain why you think it is creative.
3. Please include at least one example of how you would use your idea.
4. Please include a picture of your idea.
5. If you have any additional ideas, please feel free to share them.
6. Please type your ideas in sentence form.
7. Please use proper spelling and grammar.
8. Please be creative.
9. Please be original.
10. Please be interesting.
11. Please be innovative.
12. Please be different.
13. Please be humorous.
14. Please be clever.
15. Please be unusual.
16. Please be unique.
17. Please be funny.
18. Please be entertaining.
19. Please be engaging.
20. Please be thought-provoking.
21",base-input-prompt-only
8,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
You have to come up with at least 5 ideas.
The ideas must be creative, not ordinary.
You must type in at least 5 ideas.
The ideas must be creative, not ordinary. You must type in at least 5 ideas.
You have to come up with at least 5 ideas. The ideas must be creative, not ordinary. You must type in at least 5 ideas.
You must type in at least 5 ideas. The ideas must be creative, not ordinary. You must type in at least 5 ideas.
You have to come up with at least 5 ideas. The ideas must be creative, not ordinary. You must type in at least 5 ideas. The ideas must be creative, not ordinary. You must type in at least 5 ideas.
The ideas must be creative, not ordinary. You must type in at least 5 ideas. The ideas must be creative, not ordinary. You must type in at least 5 ideas. The ideas must be creative, not ordinary. You must type in at least 5 ideas.
You have to come up with at least 5 ideas. The ideas must",base-input-prompt-only
9,pants,"For this task, you have to come up with original and creative uses for pants. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
You have 15 minutes to think of ideas.
You have 15 minutes to think of ideas. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
Pants are a type of clothing that covers the lower half of the body, typically from the waist to the ankles. They are typically made from a variety of materials, including cotton, denim, and wool. Pants are typically worn with a belt to hold them up.
Pants are a type of clothing that covers the lower half of the body, typically from the waist to the ankles. They are typically made from a variety of materials, including cotton, denim, and wool. Pants are typically worn with a belt to hold them up. Pants are a type of clothing that covers the lower half of the body, typically from the waist to the ankles. They are typically made from a variety of materials, including cotton, denim, and wool. Pants are typically worn with a belt to hold",base-input-prompt-only
0,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
You can use any shoe you want, but you should choose a shoe that is likely to be used in a creative way. For example, you could use a shoe that is used for sports, such as a soccer shoe, a running shoe, or a basketball shoe. You could also use a shoe that is used for a specific purpose, such as a work shoe or a dress shoe.
The shoe you choose should be one that you think is likely to be used in a creative way. You should also think about the type of creative use you want to use. For example, you could use a soccer shoe as a weapon, a running shoe as a tool, or a basketball shoe as a musical instrument.
You should also think about the type of creative use you want to use. For example, you could use a soccer shoe as a weapon, a running shoe as a tool, or a basketball shoe as a musical instrument.
You can use any shoe you want, but you should choose a shoe that is likely to be used in a creative way. For example, you could use a shoe",base-input-prompt-only
1,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
To make a good creative use, you must use your imagination to come up with an idea that is not obvious and is not something that would be thought of by most people. For example, if you think of an idea that most people would think of, you should try to think of a different or better way of doing it. You should also avoid thinking of ideas that are common and ordinary, such as using a shoe as a hammer or a shoe as a weapon.
You can also get points for creative ideas that are similar to ones that have already been posted, but you must come up with a different way of doing it. For example, if someone has already posted an idea for using a shoe as a hammer, you can get points for posting a different idea, such as using a shoe as a hammer to hit a nail into a wall.
If you want to get the most points possible, you should try to come up with as many different and creative uses as possible. You should also try to come up with ideas that are unique and original. If you can come up with an idea that is both creative and unique, you will get the most points possible.
",base-input-prompt-only
2,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
2. Write down a list of at least 10 words that describe the word ""shoe"" or ""footwear.""
3. Write down at least 10 words that describe the word ""foot"" or ""feet.""
4. Write down at least 10 words that describe the word ""walking.""
5. Write down at least 10 words that describe the word ""running.""
6. Write down at least 10 words that describe the word ""sports.""
7. Write down at least 10 words that describe the word ""shoe.""
8. Write down at least 10 words that describe the word ""footwear.""
9. Write down at least 10 words that describe the word ""shoe.""
10. Write down at least 10 words that describe the word ""footwear.""
11. Write down at least 10 words that describe the word ""shoe.""
12. Write down at least 10 words that describe the word ""footwear.""
13. Write down at least 10 words that describe the word ""shoe.""
14",base-input-prompt-only
3,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
3. You have to use the words ""shoe"" and ""shoes"" in each idea. You can't just say ""shoe"" or ""shoes"" once in each idea. You have to use the words ""shoe"" and ""shoes"" in each idea.
4. You must use the word ""shoe"" or ""shoes"" in each idea. You can't just say ""shoe"" or ""shoes"" once in each idea. You have to use the words ""shoe"" and ""shoes"" in each idea.
5. You have to use the word ""shoe"" or ""shoes"" in each idea. You can't just say ""shoe"" or ""shoes"" once in each idea. You have to use the words ""shoe"" and ""shoes"" in each idea.
6. You must use the word ""shoe"" or ""shoes"" in each idea. You can't just say ""shoe"" or ""shoes"" once in each idea. You have to use the words ""shoe"" and ""shoes""",base-input-prompt-only
4,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
What is the best way to use a shoe?
For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity.",base-input-prompt-only
5,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The 10 best entries will be published in a book, which will be available for purchase on Amazon.com.
In addition, the 10 best entries will win $50.
Contest ends: November 1st, 2010
For more information, visit: http://www.creativeusesforshoes.com/
Labels: Creative Uses for Shoes, creative writing, creativity, shoe, writing contest
The CBC's The Next Chapter with Shelagh Rogers is featuring a segment on the short story this week.
The show will feature two short story writers:
Margaret Atwood, whose new collection of stories, The Tent, has just been published by McClelland & Stewart.
Gary Shteyngart, whose new collection of stories, Super Sad True Love Story, has just been published by Random House Canada.
The show will air on October 19th, 2010.
To listen to the show, visit: http://www.cbc.ca/thenextchapter/
Labels: CBC, Gary Shteyngart, Margaret",base-input-prompt-only
6,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones. You can also type in ideas in any order you like.
To make this task easier, you can use the following example ideas as a guide:
1. Use as a hammer to drive in nails.
2. Use as a hammer to drive in screws.
3. Use as a hammer to drive in staples.
4. Use as a hammer to drive in nails into a piece of wood.
5. Use as a hammer to drive in screws into a piece of wood.
6. Use as a hammer to drive in staples into a piece of wood.
7. Use as a hammer to drive in nails into a piece of metal.
8. Use as a hammer to drive in screws into a piece of metal.
9. Use as a hammer to drive in staples into a piece of metal.
10. Use as a hammer to drive in nails into a piece of glass.
11. Use as a hammer to drive in screws into a piece of glass.
12. Use as a hammer to drive in staples into a",base-input-prompt-only
7,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
1. You must use the word ""shoe"" in each of your ideas.
2. You must use the word ""use"" in each of your ideas.
3. You must use the word ""creative"" in each of your ideas.
4. You must use the word ""clever"" in each of your ideas.
5. You must use the word ""unusual"" in each of your ideas.
6. You must use the word ""interesting"" in each of your ideas.
7. You must use the word ""uncommon"" in each of your ideas.
8. You must use the word ""humorous"" in each of your ideas.
9. You must use the word ""innovative"" in each of your ideas.
10. You must use the word ""different"" in each of your ideas.
11. You must use the word ""idea"" in each of your ideas.
12. You must use the word ""thought"" in each of your ideas.
13. You must use the word ""think"" in each of your ideas.
14. You must use the word ""th",base-input-prompt-only
8,shoe,"For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
For this task, you have to come up with original and creative uses for shoe. The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The goal is to come up with creative ideas, which are ideas that strike people as clever, unusual, interesting, uncommon, humorous, innovative, or different. Your ideas don't have to be practical or realistic; they can be silly or strange, even, so long as they are creative uses rather than ordinary uses. You can type in FIVE ideas, but creative quality is more important than quantity. It's better to have a few really good ideas than a lot of uncreative ones.
The goal is to come up with creative ideas",base-input-prompt-only
